lex,sp,gloss,voc_lex
B,prep,in,בְּ
R>CJT/,subs,beginning,רֵאשִׁית
BR>[,verb,create,ברא
>LHJM/,subs,god(s),אֱלֹהִים
>T,prep,<object marker>,אֵת
H,art,the,הַ
CMJM/,subs,heavens,שָׁמַיִם
W,conj,and,וְ
>RY/,subs,earth,אֶרֶץ
HJH[,verb,be,היה
THW/,subs,emptiness,תֹּהוּ
BHW/,subs,emptiness,בֹּהוּ
XCK/,subs,darkness,חֹשֶׁךְ
<L,prep,upon,עַל
PNH/,subs,face,פָּנֶה
THWM/,subs,primeval ocean,תְּהֹום
RWX/,subs,wind,רוּחַ
RXP[,verb,shake,רחף
MJM/,subs,water,מַיִם
>MR[,verb,say,אמר
>WR/,subs,light,אֹור
R>H[,verb,see,ראה
KJ,conj,that,כִּי
VWB[,verb,be good,טוב
BDL[,verb,separate,בדל
BJN/,subs,interval,בַּיִן
QR>[,verb,call,קרא
L,prep,to,לְ
JWM/,subs,day,יֹום
LJLH/,subs,night,לַיְלָה
<RB/,subs,evening,עֶרֶב
BQR=/,subs,morning,בֹּקֶר
>XD/,subs,one,אֶחָד
RQJ</,subs,firmament,רָקִיעַ
TWK/,subs,midst,תָּוֶךְ
<FH[,verb,make,עשׂה
>CR,conj,<relative>,אֲשֶׁר
MN,prep,from,מִן
TXT/,subs,under part,תַּחַת
KN,advb,thus,כֵּן
CNJ/,adjv,second,שֵׁנִי
QWH=[,verb,collect,קוה
>L,prep,to,אֶל
MQWM/,subs,place,מָקֹום
JBCH/,subs,dry land,יַבָּשָׁה
MQWH/,subs,collection,מִקְוֶה
JM/,subs,sea,יָם
DC>[,verb,grow green,דשׁא
DC>/,subs,young grass,דֶּשֶׁא
<FB/,subs,herb,עֵשֶׂב
ZR<[,verb,sow,זרע
ZR</,subs,seed,זֶרַע
<Y/,subs,tree,עֵץ
PRJ/,subs,fruit,פְּרִי
MJN/,subs,kind,מִין
JY>[,verb,go out,יצא
CLJCJ/,adjv,third,שְׁלִישִׁי
M>WR/,subs,lamp,מָאֹור
>WT/,subs,sign,אֹות
MW<D/,subs,appointment,מֹועֵד
CNH/,subs,year,שָׁנָה
>WR[,verb,be light,אור
CNJM/,subs,two,שְׁנַיִם
GDWL/,adjv,great,גָּדֹול
MMCLT/,subs,dominion,מֶמְשֶׁלֶת
QVN/,adjv,small,קָטֹן
KWKB/,subs,star,כֹּוכָב
NTN[,verb,give,נתן
MCL[,verb,rule,משׁל
RBJ<J/,adjv,fourth,רְבִיעִי
CRY[,verb,swarm,שׁרץ
CRY/,subs,swarming creatures,שֶׁרֶץ
NPC/,subs,soul,נֶפֶשׁ
XJ/,adjv,alive,חַי
<WP/,subs,birds,עֹוף
<WP[,verb,fly,עוף
TNJN/,subs,sea-monster,תַּנִּין
KL/,subs,whole,כֹּל
RMF[,verb,creep,רמשׂ
KNP/,subs,wing,כָּנָף
BRK[,verb,bless,ברך
PRH[,verb,be fertile,פרה
RBH[,verb,be many,רבה
ML>[,verb,be full,מלא
XMJCJ/,adjv,fifth,חֲמִישִׁי
BHMH/,subs,cattle,בְּהֵמָה
RMF/,subs,creeping animals,רֶמֶשׂ
XJH/,subs,wild animal,חַיָּה
>DMH/,subs,soil,אֲדָמָה
>DM/,subs,"human, mankind",אָדָם
YLM/,subs,image,צֶלֶם
K,prep,as,כְּ
DMWT/,subs,likeness,דְּמוּת
RDH[,verb,"tread, to rule",רדה
DGH/,subs,fish,דָּגָה
ZKR=/,adjv,male,זָכָר
NQBH/,subs,female,נְקֵבָה
KBC[,verb,subdue,כבשׁ
HNH,intj,behold,הִנֵּה
>KLH/,subs,food,אָכְלָה
JRQ/,subs,greens,יֶרֶק
VWB/,adjv,good,טֹוב
M>D/,subs,might,מְאֹד
CCJ/,adjv,sixth,שִׁשִּׁי
KLH[,verb,be complete,כלה
YB>/,subs,service,צָבָא
CBJ<J/,adjv,seventh,שְׁבִיעִי
ML>KT/,subs,work,מְלֶאכֶת
CBT[,verb,cease,שׁבת
QDC[,verb,be holy,קדשׁ
>LH,prde,these,אֵלֶּה
TWLDWT/,subs,generations,תֹּולֵדֹות
JHWH/,nmpr,YHWH,יְהוָה
FJX/,subs,shrub,שִׂיחַ
FDH/,subs,open field,שָׂדֶה
VRM/,subs,beginning,טֶרֶם
YMX[,verb,sprout,צמח
L>,nega,not,לֹא
MVR[,verb,rain,מטר
>JN/,subs,<NEG>,אַיִן
<BD[,verb,"work, serve",עבד
>D/,subs,<uncertain>,אֵד
<LH[,verb,ascend,עלה
CQH[,verb,give drink,שׁקה
JYR[,verb,shape,יצר
<PR/,subs,dust,עָפָר
NPX[,verb,blow,נפח
>P/,subs,nose,אַף
NCMH/,subs,breath,נְשָׁמָה
XJJM/,subs,life,חַיִּים
NV<[,verb,plant,נטע
GN/,subs,garden,גַּן
<DN=/,nmpr,Eden,עֵדֶן
QDM/,subs,front,קֶדֶם
FJM[,verb,put,שׂים
CM,advb,there,שָׁם
XMD[,verb,desire,חמד
MR>H/,subs,sight,מַרְאֶה
M>KL/,subs,food,מַאֲכָל
D<T/,subs,knowledge,דַּעַת
R</,adjv,evil,רַע
NHR/,subs,stream,נָהָר
PRD[,verb,divide,פרד
>RB</,subs,four,אַרְבַּע
R>C/,subs,head,רֹאשׁ
CM/,subs,name,שֵׁם
PJCWN/,nmpr,Pishon,פִּישֹׁון
HW>,prps,he,הוּא
SBB[,verb,turn,סבב
XWJLH/,nmpr,Havilah,חֲוִילָה
ZHB/,subs,gold,זָהָב
HJ>,prps,she,הִיא
BDLX/,subs,bdellium-gum,בְּדֹלַח
>BN/,subs,stone,אֶבֶן
CHM/,subs,carnelian,שֹׁהַם
GJXWN/,nmpr,Gihon,גִּיחֹון
KWC/,nmpr,Cush,כּוּשׁ
XDQL/,nmpr,Tigris,חִדֶּקֶל
HLK[,verb,walk,הלך
QDMH/,subs,front,קִדְמָה
>CWR/,nmpr,Asshur,אַשּׁוּר
PRT/,nmpr,Euphrates,פְּרָת
LQX[,verb,take,לקח
NWX[,verb,settle,נוח
CMR[,verb,keep,שׁמר
YWH[,verb,command,צוה
>KL[,verb,eat,אכל
MWT[,verb,die,מות
BD/,subs,"linen, part, stave",בַּד
<ZR/,subs,"help, helper",עֵזֶר
NGD/,subs,counterpart,נֶגֶד
BW>[,verb,come,בוא
MH,prin,what,מָה
MY>[,verb,find,מצא
NPL[,verb,fall,נפל
TRDMH/,subs,sleep,תַּרְדֵּמָה
JCN=[,verb,sleep,ישׁן
YL</,subs,side,צֵלָע
SGR[,verb,close,סגר
BFR/,subs,flesh,בָּשָׂר
BNH[,verb,build,בנה
>CH/,subs,woman,אִשָּׁה
Z>T,prde,this,זֹאת
P<M/,subs,foot,פַּעַם
<YM/,subs,bone,עֶצֶם
>JC/,subs,man,אִישׁ
<ZB[,verb,leave,עזב
>B/,subs,father,אָב
>M/,subs,mother,אֵם
DBQ[,verb,"cling, cleave to",דבק
<RWM/,adjv,naked,עָרֹום
BWC[,verb,be ashamed,בושׁ
NXC/,subs,serpent,נָחָשׁ
<RWM=/,adjv,shrewd,עָרוּם
>P,advb,even,אַף
NG<[,verb,touch,נגע
PN,conj,lest,פֶּן
JD<[,verb,know,ידע
PQX[,verb,open,פקח
<JN/,subs,eye,עַיִן
T>WH/,subs,desire,תַּאֲוָה
FKL[,verb,prosper,שׂכל
GM,advb,even,גַּם
<M,prep,with,עִם
<JRM/,adjv,naked,עֵירֹם
HM,prps,they,הֵם
TPR[,verb,sew,תפר
<LH=/,subs,leafage,עָלֶה
T>NH/,subs,fig,תְּאֵנָה
XGWRH/,subs,girdle,חֲגֹורָה
CM<[,verb,hear,שׁמע
QWL/,subs,sound,קֹול
XB>[,verb,hide,חבא
>J,inrg,where,אֵי
JR>[,verb,fear,ירא
>NKJ,prps,i,אָנֹכִי
MJ,prin,who,מִי
NGD[,verb,report,נגד
>TH,prps,you,אַתָּה
H=,inrg,<interrogative>,הֲ
BLT/,subs,failure,בֵּלֶת
<MD/,subs,company,עִמָּד
NC>=[,verb,beguile,נשׁא
>RR[,verb,curse,ארר
GXWN/,subs,belly,גָּחֹון
>JBH/,subs,enmity,אֵיבָה
CJT[,verb,put,שׁית
CWP[,verb,bruise,שׁוף
CWP=[,verb,snatch,שׁוף
<QB=/,subs,heel,עָקֵב
<YBWN/,subs,pain,עִצָּבֹון
HRWN/,subs,pregnancy,הֵרֹון
<YB=/,subs,pain,עֶצֶב
JLD[,verb,bear,ילד
BN/,subs,son,בֵּן
TCWQH/,subs,impulse,תְּשׁוּקָה
<BWR/,subs,way,עֲבוּר
QWY/,subs,thorn-bush,קֹוץ
DRDR/,subs,thistles,דַּרְדַּר
Z<H/,subs,sweat,זֵעָה
LXM/,subs,bread,לֶחֶם
<D,prep,unto,עַד
CWB[,verb,return,שׁוב
XWH=/,nmpr,Eve,חַוָּה
KTNT/,subs,tunic,כֻּתֹּנֶת
<WR=/,subs,skin,עֹור
